csv_column,csv_unit,imas_unit,csv_dtype,imas_dtype,imas_path,csv_description,imas_description,kind,status,notes,transform,transform_args,source_fields,source,
VOL,m^3,m^3,,FLT_1D,summary/global_quantities/volume,Plasmas volume. Obtained from an MHD equilibrium fit.,Volume of the confined plasma,dynamic,mapped,,identity,,,MHD equilibrium fit,summary/global_quantities/volume
SEPLIM,m,m,,FLT_1D,summary/boundary/gap_limiter_wall,Minimum distance between the separatrix flux surface and either the vessel wall or limiters. Obtained from an MHD equilibrium fit.,Distance between the separatrix and the nearest limiter or wall element,dynamic,mapped,TEXTOR (1435 rows) and TFTR (104) report exactly 0 and PDX exactly 0.180; five D3D rows are negative.,identity,,,MHD equilibrium fit,summary/boundary/gap_limiter_wall
WALMAT,,,,structure,summary/wall/material,Material of the vessel wall.,Wall material,0,mapped,"'AL' (9 rows, START) has no aluminium entry in the DD materials identifier and is mapped to 0 (unspecified).",dictionary,"{""C"": 1, ""CC"": 1, ""W"": 2, ""C-W"": 3, ""SS"": 4, ""CSS"": 5, ""IN"": 6, ""IN/C"": 7, ""TI1"": 9, ""TI2"": 9, ""BE"": 10, ""C/BE"": 10, ""MO"": 11, ""AL"": 0, ""NONE"": 0}","(""index"", ""description"")",,summary/wall/material
LIMMAT,,,,structure,summary/limiter/material,Material of the limiters.,Limiter material,0,mapped,,dictionary,"{""C"": 1, ""W"": 2, ""C-W"": 3, ""BE"": 10, ""MO"": 11, ""NONE"": 0}","(""index"", ""description"")",,summary/limiter/material
EVAP,,,,STR_0D,summary/wall/evaporation,Evaporated material used to cover the inside of the vessel.,Chemical formula of the evaporated material or gas used to cover the vaccum vessel wall. NONE for no evaporation.,static,mapped,,dictionary,"{""NONE"": ""NONE"", ""BE"": ""Be"", ""TI"": ""Ti"", ""BOR"": ""B"", ""BO"": ""B"", ""BOROA"": ""(B2H6 + CH4 + H2)"", ""BOROB"": ""(B2H6 + H2)"", ""BOROC"": ""B"", ""BOROX"": ""B"", ""B2D6"": ""B2D6"", ""SID4"": ""SiD4"", ""SILICON"": ""Si"", ""CARB"": ""C2B10H12"", ""CARBH"": ""C2B10H12"", ""CARBORANE"": ""C2B10H12"", ""DECABORA"": ""B10H14""}",,,summary/wall/evaporation
BT,T,T,,FLT_1D,summary/global_quantities/b0,Vacuum toroidal magnetic field at RGEO. Determined from the current in the toroidal field coils.,Vacuum toroidal field at R0. Positive sign means anti-clockwise when viewed from above. The product R0B0 must be consistent with the b_tor_vacuum_r field of the tf IDS.,dynamic,mapped,"BT is measured at RGEO, which varies per slice, whereas the DD reference radius global_quantities/r0 is constant.",identity,,,TF coil current,summary/global_quantities/b0
IP,A,A,,FLT_1D,summary/global_quantities/ip,Plasma current. Determined from an external Rogowski coil with vessel current subtraction.,Total plasma current (toroidal component). Positive sign means anti-clockwise when viewed from above.,dynamic,mapped,,identity,,,external Rogowski coil with vessel current subtraction,summary/global_quantities/ip
VSURF,V,V,,FLT_1D,summary/global_quantities/v_loop,Loop voltage at the plasma boundary.,LCFS loop voltage (positive value drives positive ohmic current that flows anti-clockwise when viewed from above),dynamic,mapped,,identity,,,,summary/global_quantities/v_loop
Q95,1,1,,FLT_1D,summary/global_quantities/q_95,Plasma safety factor at the 95% poloidal flux surface. Obtained from an MHD equilibrium fit.,q at the 95% poloidal flux surface (only positive when toroidal current and magnetic field are in same direction),dynamic,mapped,,identity,,,MHD equilibrium fit,summary/global_quantities/q_95
BEPMHD,1,1,,FLT_1D,summary/global_quantities/beta_pol_mhd,Poloidal beta. Determined from an MHD equilibrium fit.,Poloidal beta estimated from the pressure determined by an equilibrium reconstruction code. Defined as betap = 4 int(p dV) / [R_0 * mu_0 * Ip^2],dynamic,mapped,,identity,,,MHD equilibrium fit,summary/global_quantities/beta_pol_mhd
BETMHD,1,1,,FLT_1D,summary/global_quantities/beta_tor_mhd,Toroidal beta. Determined from an MHD equilibrium fit.,"Toroidal beta, using the pressure determined by an equilibrium reconstruction code",dynamic,mapped,,identity,,,MHD equilibrium fit,summary/global_quantities/beta_tor_mhd
NEL,m^-3,m^-3,,FLT_1D,summary/line_average/n_e,Central line-averaged electron density. Determined from interferometry.,Electron density,dynamic,mapped,,identity,,,Interferometry,summary/line_average/n_e
DNELDT,m^-3.s^-1,m^-3.s^-1,,FLT_1D,summary/line_average/dn_e_dt,Time rate of change of NEL.,Time derivative of the electron density,dynamic,mapped,,identity,,,,summary/line_average/dn_e_dt
NEV,m^-3,m^-3,,FLT_1D,summary/volume_average/n_e,Volume-averaged electron density.,Electron density,dynamic,mapped,,identity,,,,summary/volume_average/n_e
NE0,m^-3,m^-3,,FLT_1D,summary/local/magnetic_axis/n_e,Central electron density at the magnetic axis. Determined with similar methods as NEV.,Electron density,dynamic,mapped,,identity,,,,summary/local/magnetic_axis/n_e
ZEFF,1,1,,FLT_1D,summary/line_average/zeff,Line-averaged plasma effective charge determined from visible Bremsstrahlung.,Effective charge,dynamic,mapped,,identity,,,Visible bremsstrahlung,summary/line_average/zeff
PRAD,W,W,,FLT_1D,summary/global_quantities/power_radiated,Total radiated power. Determined from bolometry.,Total radiated power,dynamic,mapped,,identity,,,Bolometry,summary/global_quantities/power_radiated
POHM,W,W,,FLT_1D,summary/global_quantities/power_ohm,Total Ohmic power. POHM = VSURF * IP.,Ohmic power,dynamic,mapped,,identity,,,"{""default"": ""VSURF x IP"", ""AUG"": ""VSURF corrected for flux variations between the loop and the plasma surface"", ""CMOD"": ""Vres x IP, Vres from VSURF corrected for inductive effects"", ""D3D"": ""central visible bremsstrahlung"", ""JET"": ""VSURF x IP, corrected for inductance effects"", ""JT60U"": ""TOPICS transport analysis (SHOT >= 33635)"", ""PDX"": ""corrected for inductance effects"", ""START"": ""corrected for inductance effects"", ""TCV"": ""VSURF from the LIUQE equilibrium code"", ""TFTR"": ""IP x VSURF minus the inductive li term""}",summary/global_quantities/power_ohm
PINJ,W,W,,FLT_1D,summary/heating_current_drive/nbi(0)/power_launched,"Power injected by neutral beam 1, using beam species BGASA, BGASZ. [formula in source, not extractable]",NBI power launched into the vacuum vessel from this unit,dynamic,mapped,,identity,,,,summary/heating_current_drive/nbi/power_launched
PINJ2,W,W,,FLT_1D,summary/heating_current_drive/nbi(1)/power_launched,"Power injected by neutral beam 2, using beam species BGASA2, BGASZ2. [formula in source, not extractable]",NBI power launched into the vacuum vessel from this unit,dynamic,mapped,,identity,,,,summary/heating_current_drive/nbi/power_launched
COCTR,1,1,,FLT_1D,summary/heating_current_drive/power_launched_nbi_co_injected_ratio,Fraction of beam power co-injected as compared to the total beam power injected.,Ratio of co-injected beam launched power to total NBI launched power. Is set to 1 for purely perpendicular injection,dynamic,mapped,,identity,,,,summary/heating_current_drive/power_launched_nbi_co_injected_ratio
ECHFREQ,Hz,Hz,,FLT_1D,summary/heating_current_drive/ec(0)/frequency,ECRH frequency.,ECRH frequency,dynamic,mapped,,identity,,,,summary/heating_current_drive/ec/frequency
PECRHC,W,W,,FLT_1D,summary/heating_current_drive/ec(0)/power,ECRH power coupled to the plasma.,Electron cyclotron heating power coupled to the plasma from this launcher,dynamic,mapped,,identity,,,,summary/heating_current_drive/ec/power
ICFREQ,Hz,Hz,,FLT_1D,summary/heating_current_drive/ic(0)/frequency,ICRH frequency.,ICRH frequency,dynamic,mapped,,identity,,,,summary/heating_current_drive/ic/frequency
PICRHC,W,W,,FLT_1D,summary/heating_current_drive/ic(0)/power,ICRH power coupled to the plasma.,IC heating power coupled to the plasma from this launcher,dynamic,mapped,,identity,,,,summary/heating_current_drive/ic/power
DWDIA,W,W,,FLT_1D,summary/global_quantities/denergy_diamagnetic_dt,Time rate of change of the total plasma stored energy. Obtained from diamagnetic loop measurements.,Time derivative of the diamagnetic plasma energy content,dynamic,mapped,,identity,,,Diamagnetic loop,summary/global_quantities/denergy_diamagnetic_dt
TEV,eV,eV,,FLT_1D,summary/volume_average/t_e,Volume-averaged electron temperature.,Electron temperature,dynamic,mapped,,identity,,,,summary/volume_average/t_e
TE0,eV,eV,,FLT_1D,summary/local/magnetic_axis/t_e,Electron temperature on the magnetic axis.,Electron temperature,dynamic,mapped,,identity,,,,summary/local/magnetic_axis/t_e
TIV,eV,eV,,FLT_1D,summary/volume_average/t_i_average,Volume-averaged ion temperature.,Ion temperature (average over ion species),dynamic,mapped,,identity,,,,summary/volume_average/t_i_average
TI0,eV,eV,,FLT_1D,summary/local/magnetic_axis/t_i_average,Ion temperature at the magnetic axis.,Ion temperature (average over ion species),dynamic,mapped,,identity,,,,summary/local/magnetic_axis/t_i_average
WDIA,J,J,,FLT_1D,summary/global_quantities/energy_diamagnetic,Total plasma energy as determined from the diamagnetic loop.,Plasma diamagnetic energy content = 3/2 * integral over the plasma volume of the total perpendicular pressure ,dynamic,mapped,,identity,,,Diamagnetic loop,summary/global_quantities/energy_diamagnetic
WMHD,J,J,,FLT_1D,summary/global_quantities/energy_mhd,Total plasma energy as determined by MHD equilibrium calculations.,Plasma energy content = 3/2 * integral over the plasma volume of the total kinetic pressure (pressure determined by an equilibrium reconstruction code),dynamic,mapped,,identity,,,MHD equilibrium fit,summary/global_quantities/energy_mhd
WEKIN,J,J,,FLT_1D,summary/global_quantities/energy_electrons_thermal,Total thermal electron plasma energy as determined from kinetic measurements.,Thermal electron plasma energy content = 3/2 * integral over the plasma volume of the thermal electron pressure,dynamic,mapped,,identity,,,Kinetic measurements,summary/global_quantities/energy_electrons_thermal
WIKIN,J,J,,FLT_1D,summary/global_quantities/energy_ion_total_thermal,Total thermal ion plasma energy as determined from kinetic measurements.,Thermal ion plasma energy content (sum over the ion species) = 3/2 * integral over the plasma volume of the thermal ion pressure,dynamic,mapped,,identity,,,Kinetic measurements,summary/global_quantities/energy_ion_total_thermal
WFPER,J,J,,FLT_1D,summary/global_quantities/energy_fast_perpendicular,Total perpendicular fast ion energy due to NBI as determined from transport calculations. Zero if no NBI is applied.,Fast particles perpendicular energy content = 3/2 * integral over the plasma volume of the fast perpendicular pressure,dynamic,mapped,,identity,,,Transport calculations,summary/global_quantities/energy_fast_perpendicular
WFPAR,J,J,,FLT_1D,summary/global_quantities/energy_fast_parallel,Total parallel fast ion energy due to NBI as determined from transport calculations. Zero if no NBI is applied.,Fast particles parallel energy content = 3/2 * integral over the plasma volume of the fast parallel pressure,dynamic,mapped,,identity,,,Transport calculations,summary/global_quantities/energy_fast_parallel
PLTH,W,W,,FLT_1D,summary/global_quantities/power_loss,Estimated loss power corrected for charge exchange and unconfined orbit losses. PLTH = PL - PFLOSS.,Power through separatrix,dynamic,mapped,,identity,,,,summary/global_quantities/power_loss
TAUTH,s,s,,FLT_1D,summary/global_quantities/tau_energy,"Estimated thermal energy confinement time. [formula in source, not extractable]",Energy confinement time,dynamic,mapped,Blank on 328 rows where TAUTH2 or TAUTH1 carries the same quantity; the fallback is not applied here.,identity,,,,summary/global_quantities/tau_energy
NESEP,m^-3,m^-3,,FLT_1D,summary/local/separatrix/n_e,Electron density at the separatrix.,Electron density,dynamic,mapped,,identity,,,,summary/local/separatrix/n_e
WTH,J,J,,FLT_1D,summary/global_quantities/energy_thermal,Estimated thermal plasma energy content.,Thermal plasma energy content = 3/2 * integral over the plasma volume of the thermal pressure,dynamic,mapped,Per-machine thermal energy estimate that feeds TAUTH; energy_thermal is taken by the directly measured WKIN.,identity,,,,summary/global_quantities/energy_thermal
WKIN,J,,dynamic_float1d(:),,,Total thermal plasma energy as determined from kinetic measurements.,,,manifest,,identity,,,Kinetic measurements,
DIVNAME,,,constant_string0d(:),STR_0D,divertors/divertor(0)/name,Divertor configuration.,Short string identifier (unique for a given device),static,manifest,Out-of-scope path recorded for a future migration; it is ignored for manifest rows.,identity,,,,divertors/divertor/name
T2,s,,dynamic_float1d(:),,,End of main time average window.,,,manifest,The other endpoint of the T1/T2 averaging window; the width itself is carried by the T1 row.,identity,,,,
AUXHEAT,,,constant_string1d(:),,,Type of auxiliary heating.,,,manifest,,identity,,,,
PHASE,,,constant_string1d(:),,,Phase of the discharge at TIME.,,,manifest,,identity,,,,
HYBRID,,,constant_string1d(:),,,Flag indicating whether the data point is in a hybrid mode.,,,manifest,'UNKNOWN' on 10866 of 14153 rows: the flag was never assessed for most of the database.,identity,,,,
ITB,,,constant_string1d(:),,,Flag indicating whether the data point has an internal transport barrier.,,,manifest,"'UNKNOWN' on 10871 of 14153 rows; the remainder are NO or NOITB, so no row in the database records a present ITB.",identity,,,,
ELMMAX,,,dynamic_float1d(:),,,Average ELM amplitude of the H_alpha signal (minus base level).,,,manifest,Amplitude of the H_alpha ELM signal in arbitrary units; not comparable across machines.,identity,,,,
ELMDUR,s,,dynamic_float1d(:),,,Average ELM duration of the H_alpha signal.,,,manifest,,identity,,,,
ELMINT,,,dynamic_float1d(:),,,Average ELM integral of the H_alpha signal (minus base level).,,,manifest,Integral of the H_alpha ELM signal in arbitrary units; not comparable across machines.,identity,,,,
OLTIME,s,,dynamic_float1d(:),,,Time of the Ohmic to L-mode transition (start of auxiliary heating).,,,manifest,,identity,,,,
LHTIME,s,,dynamic_float1d(:),,,Time of the L to H transition.,,,manifest,L-H transition time. No summary node exists for it; a candidate for a future DD extension.,identity,,,,
PGASA,u,,constant_float0d(:),,,Mass of the plasma working gas.,,,manifest,"Mass of the working gas. meff_hydrogenic is taken by MEFF, which is the weighted quantity. Four JET pulses (91215, 91234, 91274, 91276) change working gas between slices; the first value seen is kept.",identity,,,,
PELLET,,,constant_string1d(:),,,Pellet material if pellets (1 or more) have been injected.,,,manifest,"Mixes pellet material (H, D) with strong gas fuelling labels (GP_H, GP_D, GAS-FUEL), so it is not a pellet species field.",identity,,,,
XGASZ,e,,constant_integer0d(:),,,Charge number of extra-fueled gas.,,,manifest,"0 means no extra fuelled gas; see XGASA. The definitions document states the allowed range as [1, Inf[, which its own value table contradicts.",identity,,,,
XGASA,u,,constant_float0d(:),,,Mass of extra-fueled gas.,,,manifest,"0 means no extra fuelled gas, not a mass of zero, and is declared as a sentinel; seeding starts partway through a pulse, so the literal reading also made the species disagree across slices in 45 pulses. Five JET pulses still alternate H and D between slices; the first value seen is kept.",identity,,,,
DELTA,1,,dynamic_float1d(:),,,Triangularity of the plasma boundary. Obtained from an MHD equilibrium fit.,,,manifest,"Average triangularity; the DD carries only the upper and lower halves, which DELTAU and DELTAL supply.",identity,,,,
INDENT,1,,dynamic_float1d(:),,,Indentation of the plasma. Obtained from an MHD equilibrium fit.,,,manifest,No indentation field in the DD boundary description. JET carries the integer fill -9999999 on 825 rows.,identity,,,MHD equilibrium fit,
AREA,m^2,,dynamic_float1d(:),,,Area of the plasma cross-section. Obtained from an MHD equilibrium fit.,,,manifest,Poloidal cross-section area; the DD summary carries volume but no cross-section area.,identity,,,MHD equilibrium fit,
SURFFORM,m^2,,dynamic_float1d(:),,,Surface area of the plasma from formula.,,,manifest,"Plasma surface area from a formula. Searching summary for a separatrix surface area returns only position nodes, none of which is an area.",identity,,,,
XPLIM,m,,dynamic_float1d(:),FLT_0D,equilibrium/time_slice(0)/boundary/gap(0),Minimum distance between the X-point and either the vessel walls or limiters. Obtained from an MHD equilibrium fit.,"Set of gaps, defined by a reference point and a direction.",dynamic,manifest,"X-point to wall clearance. The DD represents this only as an equilibrium boundary gap, which is out of scope for a summary-only migration; the path is recorded for a future migration and is ignored for manifest rows.",identity,,,MHD equilibrium fit,equilibrium/time_slice/boundary/gap
DIVMAT,,,constant_string0d(:),,,Material of the divertor tiles.,,,manifest,The DD has no divertor-tile material node under summary; wall/material and limiter/material are taken by WALMAT and LIMMAT. Indices follow the DD materials identifier.,identity,,,,
DALFMP,,,dynamic_float1d(:),,,D_alpha emission on the midplane.,,,manifest,"Units are inconsistent across machines: JET reports 1e12-1e17 (photon flux) while AUG, NSTX, PBXM and PDX report -0.4 to 7. csv_unit is left blank for that reason.",identity,,,,
DALFDV,,,dynamic_float1d(:),,,D_alpha emission in the divertor.,,,manifest,Same per-machine unit inconsistency as DALFMP.,identity,,,,
IGRADB,,,constant_integer0d(:),,,Indicates the direction of the ion grad-B drift.,,,manifest,Direction of the ion grad-B drift relative to the X-point; no DD node encodes this sign convention. 0 is defined as 'Undefined' and is declared as a sentinel.,identity,,,,
PREMAG,,,constant_string0d(:),,,Flag indicating whether start-up was done with or without pre-magnetization current.,,,manifest,,identity,,,,
SH95,1,,dynamic_float1d(:),,,Magnetic shear at the 95% poloidal flux surface.,,,manifest,Magnetic shear at the 95% flux surface; summary carries q_95 but no shear node.,identity,,,,
BEILI2,1,,dynamic_float1d(:),,,"Represents betai + 0.5li, where betai is the Shafranov beta and li the internal inductance. Determined from an MHD equilibrium fit.",,,manifest,"Composite beta_i + li/2. The DD holds the two components separately (beta_pol, li_mhd) but no combination.",identity,,,,
BEIMHD,1,,dynamic_float1d(:),,,beta Shafranov. Determined from an MHD equilibrium fit.,,,manifest,"Shafranov beta. beta_pol and beta_pol_mhd are taken by BEPDIA and BEPMHD, and the Shafranov definition differs from both.",identity,,,MHD equilibrium fit,
NELFORM,,,dynamic_integer1d(:),,,Indicates whether NEL is an indirect measurement.,,,manifest,Flag marking the JET rows where NEL is approximated by a formula rather than measured directly.,identity,,,,
NE0TSC,m^-3,,dynamic_float1d(:),,,Central electron density from Thomson scattering.,,,manifest,"Thomson-scattering central density; local/magnetic_axis/n_e is taken by NE0, which is the database's primary central density.",identity,,,,
ZEFFNEO,1,,dynamic_float1d(:),,,Plasma effective charge as determined by neoclassical resistivity.,,,manifest,Effective charge from neoclassical resistivity; the two zeff nodes in summary are taken by ZEFF (line_average) and PGASZ (volume_average).,identity,,,,
